category,subcategory,name,description,url,price,image
Mice and Trackballs,Wired Mice,Ikey Nema 4X Industrial Trackball,"The DT-TB offers solid-state laser trackball technology in a completely sealed and waterproof enclosure. The trackball is easily removable for convenient cleaning, while an adjustable tension ring ensures the proper amount of trackball smoothness for any user. In addition, the DT-TB features sealed stainless steel switches, including a programmable button.",/images/IKEY_NEMA_4X_INDUSTRIAL_TRACKBALL.jpg,47.68,/images/IKEY_NEMA_4X_INDUSTRIAL_TRACKBALL.jpg
Mice and Trackballs,Wired Mice,Seal Shield Storm Medical Opt Mou,"SILVER STORM Medical Grade Optical Mouse With Scroll Wheel - Dishwasher Safe and Antimicrobial (White)(USB). The original DISHWASHER SAFE Scroll Wheel mouse. Manufactured with SEAL SHIELD Waterproof Technology (Patent Pending) and SILVER SEAL infused plastic for antimicrobial protection of the mouse surface. The SILVER STORM Scroll Wheel Mouse is the original mouse that is washable and SILVER SEAL protected. SILVER SEAL technology protects the mouse between washings. The SILVER STORM Scroll Wheel, 800 dpi optical mouse is fully submersible; DISHWASHER SAFE; has a 24K Gold-plated USB Connector to prevent corrosion and is manufactured to IP-68 standards. Includes (1) SILVER STORM Medical Grade Optical Mouse With Scroll Wheel - Dishwasher Safe and Antimicrobial (White)(USB); (1) SEAL CAPTM(Patent pending) USB Connection Cover. Windows and Mac compatible.<br><br>",/images/SEAL_SHIELD_STORM_MEDICAL_OPT_MOU.jpg,94.24,/images/SEAL_SHIELD_STORM_MEDICAL_OPT_MOU.jpg
Mice and Trackballs,Wired Mice,Pioneer Ip68 Usb Mouse White,,/images/PIONEER_IP68_USB_MOUSE_WHITE.jpg,87.93,/images/PIONEER_IP68_USB_MOUSE_WHITE.jpg
Mice and Trackballs,Wireless Mice,Verbatim Silent Wrls Mouse,"Say goodbye to noise and hello to silence with the Verbatim Silent Mouse and Keyboard. Using Silent technology, silent click switches, and rubber covers, these Verbatim products are truly silent. The nano receiver is small enough to plug in and leave connected and the 2.4 GHz wireless performance allows for a lag-free connection. The Silent Mouse features Blue LED technology, allowing users to point and click on more surfaces than other mice - from a glass table to the granite kitchen counter! The Silent Keyboard features a full numeric keypad and full-size function keys, all within a slim, efficient design.",/images/VERBATIM_SILENT_WRLS_MOUSE.jpg,87.67,/images/VERBATIM_SILENT_WRLS_MOUSE.jpg
Mice and Trackballs,Wireless Mice,Evoluent Wrls Vert Mouse 4 Rt Hand,"Evoluent ®USB Wireless Right-Handed VerticalMouse protects your forearm from twisting with its thoughtfully sculpted shape and easy-to-operate programmable buttons. Its two-thumb buttons feature offers significantly extended functionality when you use it with the included driver. The Evoluent USB wireless right-handed VerticalMouse 4 has an adjustable laser sensor to allow for comfortable adjustment without freeing your grip from the mouse. Its extended lip along the bottom edge keeps your finger from rubbing the desk. An ergonomic thumb rest in the mouse provides even comfort compared to its earlier versions. Its pointer speed indicators show through this thumb rest and its easy to tell pointer speed. This vertical computer mouse comes with a powerful and intuitive driver that offers detailed but easy to operate functionality through an intuitive interface. It's compatible with Windows, Mac and Linux for universal use.",/images/EVOLUENT_WRLS_VERT_MOUSE_4_RT_HAND.jpg,40.75,/images/EVOLUENT_WRLS_VERT_MOUSE_4_RT_HAND.jpg
Mice and Trackballs,Wireless Mice,Verb Wrls Mini Travel Grap Mou,"Go Mini! Verbatims new Nano travel mouse is ultra-compact and wireless too! A great solution for people on the gothis optical mouse is ideal for notebook and netbook users. The small Nano receiver plugs into your laptops USB port and can stay; no need to plug and unplug a bulky receiver or deal with cords! With 2.4GHz reliability and performance, the travel mouse ensures no delays in cursor movement. This portable mouse comes in a variety of fun colors and works on any computer with a USB port.<br><br>Ultra-portable design is great for storing in a briefcase for use on the road<br>Nano wireless receiver: small enough to plug in once and leave connected<br>USB 2.0 interface (also compatible with USB 1.1 ports): allows for 2.4GHz wireless reliability and performance<br>Functional mouse is compatible with Windows 7, Vista, and XP operating systems<br>Backed by a Verbatim 1-year limited warranty<br>Size: 3 L x 2"" W x 1.25"" H<br>Color: Graphite",/images/VERB_WRLS_MINI_TRAVEL_GRAP_MOU.jpg,55.9,/images/VERB_WRLS_MINI_TRAVEL_GRAP_MOU.jpg
Mice and Trackballs,Wired Mice,Targus Opt Nb Usb Mou,"The Targus USB Optical Laptop Mouse is a three-button mouse with an ergonomic design to provide comfort while in use. Designed for both left and right-handed users, the mouse features an integrated scroll wheel making it easy to navigate through web pages or lengthy spreadsheets at a quick pace. Featuring a 6ft. USB connection and a 1,000 DPI optical sensor, this cost effective mouse is easy to use - simply plug and play. No drivers are required. Large enough for comfortable desktop use, this mouse is also small enough to fit inside of a laptop case for easy travel.<br>",/images/TARGUS_OPT_NB_USB_MOU.jpg,70.83,/images/TARGUS_OPT_NB_USB_MOU.jpg
Computer Displays,"Gaming Monitors 15""-34""",Benq Ex3410R Mobiuz 34In Gaming Mon,"Go ahead and enter a gaming world where you will discover a universe of infinite possibilities. Whoever you choose to be, just enjoy the ultimate gaming experience and play with the total immersion BenQ MOBIUZ leads you to.",/images/BENQ_EX3410R_MOBIUZ_34IN_GAMING_MON.jpg,51.4,/images/BENQ_EX3410R_MOBIUZ_34IN_GAMING_MON.jpg
Computer Displays,"24"" Computer Displays",Planar Pll2450Mw 24In Led Lcd Mon,"The Planar PLL2450MW 24"" Full HD LCD desktop monitor features wide viewing angles, integrated TrueMedia speakers and VGA and HDMI video inputs. With its small footprint, it can be mounted on a multi-monitor stand for home, office or healthcare applications. The Planar PLL2450MW offers wide viewing angles and excellent color balance while maintaining a quick refresh rate. Blue light reduction presets help lower eye fatigue and maintain visual comfort.",/images/PLANAR_PLL2450MW_24IN_LED_LCD_MON.jpg,56.71,/images/PLANAR_PLL2450MW_24IN_LED_LCD_MON.jpg
Notebook Computers,Clearance Merchandise,Acer C734T-C6As N4500 32_8 (Bstk),"<p>The Acer Chromebook 511 C734T is a school laptop that keeps the students engaged and ready to achieve more in the classroom. It features a unique OceanGlass touchpad that helps reduce waste in the environment. This laptop comes equipped with the Intel Celeron N4500 processor, UHD Graphics and 8 GB RAM for seamless performance.</p>",/images/ACER_C734T-C6AS_N4500_32_8_(BSTK).jpg,63.92,/images/ACER_C734T-C6AS_N4500_32_8_(BSTK).jpg
