category,subcategory,name,description,url,price,image
Mice and Trackballs,Mouse/Wrist Pads,Fel Gel Wristrest/Mousepad Microban,"The comfort of gel with added protection against damaging bacteria. Built-in Microban antimicrobial protection fights the uncontrolled growth of microbes, such as bacteria, that can cause stains, odors and product deterioration. The ultimate in personal fit, so you can mouse without tension or fatigue. Optical mouse friendly. Features long-lasting polyester covering that stands-up against everyday wear and tear.",/cdw_images/FEL_GEL_WRISTREST/MOUSEPAD_MICROBAN.jpg,59.08,/cdw_images/FEL_GEL_WRISTREST/MOUSEPAD_MICROBAN.jpg
Mice and Trackballs,Mouse/Wrist Pads,Fellowes Gel Wristrest,"With a Gel Wrist Rest you will take the ""Ouch"" out of typing and replace it with a soothing ""Ahh"", because its soft, yet firm surface will provide your wrist and forearm with support while you type.~This Gel Wrist Rest redistributes pressure points for optimal comfort. It is made of smooth Lycra. Non-skid base holds the wrist rest firmly in place.",/cdw_images/FELLOWES_GEL_WRISTREST.jpg,42.52,/cdw_images/FELLOWES_GEL_WRISTREST.jpg
Mice and Trackballs,Wired Mice,Ikey Nema 4X Industrial Trackball,"The DT-TB offers solid-state laser trackball technology in a completely sealed and waterproof enclosure. The trackball is easily removable for convenient cleaning, while an adjustable tension ring ensures the proper amount of trackball smoothness for any user. In addition, the DT-TB features sealed stainless steel switches, including a programmable button.",/cdw_images/IKEY_NEMA_4X_INDUSTRIAL_TRACKBALL.jpg,34.94,/cdw_images/IKEY_NEMA_4X_INDUSTRIAL_TRACKBALL.jpg
Mice and Trackballs,Mouse/Wrist Pads,Fellowes Memory Foam Pad/Rest Slvr,"Fellowes provides accessories for today's digital office and communication technologies, serving the needs of the office-based, home-based, and mobile worker. Fellowes offers a wide range of products designed to boost efficiency, comfort, and ease of use for the technology conscious consumer.",/cdw_images/FELLOWES_MEMORY_FOAM_PAD/REST_SLVR.jpg,77.58,/cdw_images/FELLOWES_MEMORY_FOAM_PAD/REST_SLVR.jpg
Mice and Trackballs,Wireless Mice,Cherry Mw 2310 2.0 Wireless Mouse,"<p>The CHERRY MW 2310 2.0 is a versatile 6-button wireless mouse with 2.4 GHz technology and an ergonomic design. Its nano USB receiver is so small that it can safely stay inside the notebook even when you're on the move - the mouse is always ready for use. The CHERRY MW 2310 2.0 has an optical sensor with 3 adjustable resolutions (1000/1600/2400 DPI). Using the DPI switch on the top of the mouse, the resolution can be selected at the touch of a button. An LED indicates the selected DPI. The technical concept makes the successor to the legendary CHERRY MW 2310 especially energy-efficient. With just one set of the supplied batteries (2 x AA), the mouse can be operated for up to 3 years before they have to be changed. The mouse has an On/Off switch on the bottom so it can be switched off completely when not in use. Advanced materials, a comfortable feel and great versatility make the CHERRY MW 2310 2.0 what it is - the CHERRY mouse for superior performance at a surprisingly low price. <br><br></p> <ul> <li>6-button mouse: Optical sensor and adjustable resolution (1000/1600/2400 dpi)</li> <li>Nano USB receiver: can stay plugged into in the notebook permanently</li> <li>Long battery lifespan thanks to energy-efficient infrared sensor</li> <li>Optimized for both left-handed and right-handed operation</li> <li>Elegant touch due to the chrome plated scroll wheel with non-slip rubber coating</li> <li>Easy to install, requiring no technical knowledge</li> <li>Interference-free, wireless 2.4 GHz technology (with a range of approx. 10 m)</li> </ul>",/cdw_images/CHERRY_MW_2310_2.0_WIRELESS_MOUSE.jpg,75.29,/cdw_images/CHERRY_MW_2310_2.0_WIRELESS_MOUSE.jpg
Mice and Trackballs,Mouse/Wrist Pads,Fellowes Microban Thin Mouse Pad Gry,<p>Microban antimicrobial protection helps keep product cleaner Super slim profile hugs the desktop. Product is 100% recyclable.</p>,/cdw_images/FELLOWES_MICROBAN_THIN_MOUSE_PAD_GRY.jpg,76.71,/cdw_images/FELLOWES_MICROBAN_THIN_MOUSE_PAD_GRY.jpg
Mice and Trackballs,Mouse/Wrist Pads,3D Connexion Cadmouse Pad,"<p><br> <b>Smooth O</b><b>­</b><b>perator<br></b><br>While working in CAD applications, your daily mouse movements sum up to kilometres. The high-quality micro-textured coating of the CadMouse Pad offers effortless precision for your engineering tasks. In combination with the PTFE feet of the CadMouse, the CadMouse Pad allows smooth, accurate control of your mouse.<br> <br> <b>Accurate Sensor Tracking<br></b><br>Desktop surfaces are not optimized for mouse sensor performance. In addition to its tactile advantages, the low friction surface of the CadMouse Pad enhances its tracking qualities whether you work with the laser sensor of the CadMouse or the optical sensor of the CadMouse Wireless. This ensures accurate sensor imagery for an exact translation of your hand movements into cursor movements.<br> <br> <b>Stability You Can Rely On<br></b><br>The surface enhances precision while the rigid middle layer ensures stability. The silicone base keeps your CadMouse Pad in place so it won´t slip while you are working.<br> <br><b>Fits Your Setup<br></b><br>Your workplace is individual - so should be your CadMouse Pad. The CadMouse Pad is made for high-resolution multiscreen setups and working in large assemblies, requiring more lateral space to avoid lifting the mouse. The CadMouse Pad Compact is ideal for mobile workplaces or setups with limited space.<br> <br> </p>",/cdw_images/3D_CONNEXION_CADMOUSE_PAD.jpg,64.43,/cdw_images/3D_CONNEXION_CADMOUSE_PAD.jpg
Mice and Trackballs,Wired Mice,Verb Usb Mini Travel Opt Mou Blk,"Go Mini! This mini optical travel mouse works great on the go. The ultra-portable design takes up little space and is perfect for notebook users. No need to wrap the cord around the mouse or deal with tangles; the optical travel mouse features a convenient retractable USB cable. On a plane or in a car, plug this mini mouse into your USB port and start dragging and dropping files. This portable mouse works on any computer with a USB port.<br><br>",/cdw_images/VERB_USB_MINI_TRAVEL_OPT_MOU_BLK.jpg,37.81,/cdw_images/VERB_USB_MINI_TRAVEL_OPT_MOU_BLK.jpg
Mice and Trackballs,Wireless Mice,Evoluent Wrls Vert Mouse 4 Rt Hand,"Evoluent ®USB Wireless Right-Handed VerticalMouse protects your forearm from twisting with its thoughtfully sculpted shape and easy-to-operate programmable buttons. Its two-thumb buttons feature offers significantly extended functionality when you use it with the included driver. The Evoluent USB wireless right-handed VerticalMouse 4 has an adjustable laser sensor to allow for comfortable adjustment without freeing your grip from the mouse. Its extended lip along the bottom edge keeps your finger from rubbing the desk. An ergonomic thumb rest in the mouse provides even comfort compared to its earlier versions. Its pointer speed indicators show through this thumb rest and its easy to tell pointer speed. This vertical computer mouse comes with a powerful and intuitive driver that offers detailed but easy to operate functionality through an intuitive interface. It's compatible with Windows, Mac and Linux for universal use.",/cdw_images/EVOLUENT_WRLS_VERT_MOUSE_4_RT_HAND.jpg,89.57,/cdw_images/EVOLUENT_WRLS_VERT_MOUSE_4_RT_HAND.jpg
Mice and Trackballs,Wired Mice,Cherry Opt Mou Usb Ps2 Blk,"Comfortable PlugandPlay-mouse, suitable for left and right-handed use. With its pleasant size and ideal curves, the mouse not only fits perfectly in the hand but also offers an elegant appearance.<br><br>",/cdw_images/CHERRY_OPT_MOU_USB_PS2_BLK.jpg,68.04,/cdw_images/CHERRY_OPT_MOU_USB_PS2_BLK.jpg
